name,Facies,bed_count,total_thickness,mean_thickness,min_thickness,max_thickness,mean_grainsize,min_grainsize,max_grainsize,thickness_list,section_total_thickness
FBc2,7,1,0.1595000000000013,0.1595000000000013,0.1595000000000013,0.1595000000000013,3.2439999999999998,2.95,3.36,[0.1595],22.474
FBc2,10,13,3.716300000000006,0.28586923076923126,0.09569999999999901,0.5900999999999996,4.074037956853174,2.46,4.96,"[0.1914, 0.3828, 0.2871, 0.0957, 0.5901, 0.1595, 0.3668, 0.0957, 0.2871, 0.4307, 0.319, 0.2552, 0.2552]",22.474
FBc2,14,5,0.6378999999999984,0.12757999999999967,0.06379999999999963,0.1913999999999998,2.8095757575757574,2.36,3.09,"[0.1276, 0.0638, 0.1914, 0.0797, 0.1754]",22.474
FBc2,15,1,0.14359999999999928,0.14359999999999928,0.14359999999999928,0.14359999999999928,2.4266666666666667,2.36,2.58,[0.1436],22.474
FaultWall2,2,2,0.08000000000000006,0.04000000000000003,0.016,0.06400000000000006,1.6250000000000002,0.02,3.24,"[0.016, 0.064]",63.244
FaultWall2,4,2,0.8158000000000012,0.4079000000000006,0.1919999999999984,0.6238000000000028,3.9782051282051283,2.83,4.0,"[0.192, 0.6238]",63.244
FaultWall2,5,26,33.20550000000001,1.2771346153846157,0.08000000000000185,6.765899999999995,4.175340979914806,1.69,4.91,"[0.1759, 0.6558, 1.3436, 0.4319, 1.2955, 3.231, 0.7677, 0.096, 1.8394, 0.2719, 0.9917, 1.3116, 1.4395, 0.144, 0.6238, 0.5438, 0.3199, 0.3359, 0.08, 1.2796, 1.4235, 2.4633, 1.4715, 3.6149, 0.2879, 6.7659]",63.244
FaultWall2,6,5,6.4938,1.2987600000000001,0.19190000000000396,2.7190999999999974,4.165957778221645,2.85,4.65,"[2.7191, 1.2156, 0.8797, 1.4875, 0.1919]",63.244
FaultWall2,8,4,14.4114,3.60285,1.7434000000000012,5.070399999999999,3.1127116402116406,2.87,3.83,"[3.023, 5.0704, 4.5746, 1.7434]",63.244
FaultWall2,10,5,1.2955000000000005,0.2591000000000001,0.03199999999999992,0.9596999999999998,3.7819547619047627,2.85,4.57,"[0.032, 0.9597, 0.0639, 0.112, 0.1279]",63.244
FaultWall2,13,1,3.134999999999998,3.134999999999998,3.134999999999998,3.134999999999998,2.861785714285714,2.83,2.9,[3.135],63.244
FaultWall2,14,24,2.6073999999999913,0.1086416666666663,0.032,0.5757999999999992,2.9059475044935574,2.49,3.65,"[0.032, 0.032, 0.048, 0.048, 0.064, 0.032, 0.5758, 0.112, 0.064, 0.048, 0.0639, 0.048, 0.064, 0.3039, 0.3519, 0.032, 0.048, 0.08, 0.064, 0.2879, 0.064, 0.08, 0.032, 0.032]",63.244
FaultWall2,15,4,1.1996000000000016,0.2999000000000004,0.09600000000000009,0.7838000000000029,2.846345856524428,2.77,2.92,"[0.1439, 0.096, 0.7838, 0.1759]",63.244
Fbm,4,4,3.9814000000000025,0.9953500000000006,0.31980000000000075,1.5990000000000002,4.25983079710145,3.84,4.37,"[0.3198, 0.9593, 1.1033, 1.599]",21.169999999999998
Fbm,5,18,7.275499999999998,0.4041944444444443,0.1120000000000001,1.1513,3.7448893046164784,2.62,4.35,"[0.2239, 0.1599, 0.1599, 0.7355, 1.0553, 1.1513, 0.3357, 0.1599, 0.2239, 0.112, 0.2079, 0.1599, 1.1193, 0.5757, 0.2079, 0.1439, 0.1439, 0.3997]",21.169999999999998
Fbm,6,4,1.6148999999999991,0.4037249999999998,0.2878000000000007,0.5116999999999998,4.25888317441658,3.99,4.37,"[0.5117, 0.3517, 0.2878, 0.4637]",21.169999999999998
Fbm,10,7,2.8939999999999992,0.4134285714285713,0.15990000000000038,0.8794000000000004,3.748834229877949,2.87,4.33,"[0.3358, 0.2558, 0.1599, 0.2878, 0.5116, 0.8794, 0.4637]",21.169999999999998
Fbm,12,1,0.2239,0.2239,0.2239,0.2239,3.237142857142857,3.07,3.27,[0.2239],21.169999999999998
Fbm,13,7,2.3664,0.3380571428571429,0.1598999999999986,0.6556000000000001,3.178667824380306,2.87,3.74,"[0.6556, 0.5276, 0.3997, 0.1919, 0.1599, 0.1599, 0.2718]",21.169999999999998
Fbm,14,12,2.5101999999999998,0.20918333333333328,0.0638999999999994,0.49570000000000114,2.8009311626668745,2.34,3.05,"[0.1599, 0.0639, 0.064, 0.0639, 0.1919, 0.1279, 0.2398, 0.4957, 0.2878, 0.3677, 0.1279, 0.3198]",21.169999999999998
Fbm,15,3,0.3037,0.10123333333333334,0.03200000000000003,0.1758,2.6667676767676767,2.32,3.07,"[0.1758, 0.0959, 0.032]",21.169999999999998
Fbm_1,4,4,3.9814000000000025,0.9953500000000006,0.31980000000000075,1.5990000000000002,4.25983079710145,3.84,4.37,"[0.3198, 0.9593, 1.1033, 1.599]",21.169999999999998
